"SQLServer","Version","Build","FileVersion","Description","Link","ReleaseDate","SP","CU","HF","RTM","CTP","New","Withdrawn"
"2016","13.0","13.0.5882.1","2015.131.5882.1","Cumulative update 16 (CU16) for SQL Server 2016 Service Pack 2","https://support.microsoft.com/en-us/help/5000645","2021-02-11","","TRUE","","","","",""
"2016","13.0","13.0.5865.1","2015.131.5865.1","Security update for SQL Server 2016 SP2 CU15: January 12, 2021","https://support.microsoft.com/en-us/help/4583461","2021-01-12","","","","","","",""
"2016","13.0","13.0.5850.14","2015.131.5850.14","Cumulative update 15 (CU15) for SQL Server 2016 Service Pack 2","https://support.microsoft.com/en-us/help/4577775","2020-09-28","","TRUE","","","","",""
"2016","13.0","13.0.5830.85","2015.131.5830.85","Cumulative update 14 (CU14) for SQL Server 2016 Service Pack 2","https://support.microsoft.com/en-us/help/4564903","2020-08-06","","TRUE","","","","",""
"2016","13.0","13.0.5820.21","2015.131.5820.21","Cumulative update 13 (CU13) for SQL Server 2016 Service Pack 2","https://support.microsoft.com/en-us/help/4549825","2020-05-28","","TRUE","","","","",""
"2016","13.0","13.0.5698.0","2015.131.5698.0","Cumulative update 12 (CU12) for SQL Server 2016 Service Pack 2","https://support.microsoft.com/en-us/help/4536648","2020-02-25","","TRUE","","","","",""
"2016","13.0","13.0.5622.0","2015.131.5622.0","Security update for SQL Server 2016 SP2 CU11: February 11, 2020","https://support.microsoft.com/en-us/help/4535706","2020-02-11","","","","","","",""
"2016","13.0","13.0.5598.27","2015.131.5598.27","Cumulative update 11 (CU11) for SQL Server 2016 Service Pack 2","https://support.microsoft.com/en-us/help/4527378","2019-12-09","","TRUE","","","","",""
"2016","13.0","13.0.5492.2","2015.131.5492.2","Cumulative update 10 (CU10) for SQL Server 2016 Service Pack 2","https://support.microsoft.com/en-us/help/4524334","2019-10-08","","TRUE","","","","",""
"2016","13.0","13.0.5479.0","2015.131.5479.0","4515435 Cumulative update 9 (CU9) for SQL Server 2016 Service Pack 2","","2019-09-30","","TRUE","","","","","TRUE"
"2016","13.0","13.0.5426.0","2015.131.5426.0","Cumulative update 8 (CU8) for SQL Server 2016 Service Pack 2","https://support.microsoft.com/en-us/help/4505830","2019-07-31","","TRUE","","","","",""
"2016","13.0","13.0.5382.0","2015.131.5382.0","On-demand hotfix update package 2 for SQL Server 2016 Service Pack 2 (SP2) Cumulative update 7 (CU7)","https://support.microsoft.com/en-us/help/4510807","2019-07-09","","","TRUE","","","",""
"2016","13.0","13.0.5366.0","2015.131.5366.0","Security update for SQL Server 2016 SP2 CU7 GDR: July 9, 2019","https://support.microsoft.com/en-us/help/4505222","2019-07-09","","","","","","",""
"2016","13.0","13.0.5343.1","2015.131.5343.1","On-demand hotfix update package for SQL Server 2016 Service Pack 2 (SP2) Cumulative update 7 (CU7)","https://support.microsoft.com/en-us/help/4508636","2019-06-24","","","TRUE","","","",""
"2016","13.0","13.0.5337.0","2015.131.5337.0","Cumulative update 7 (CU7) for SQL Server 2016 Service Pack 2","https://support.microsoft.com/en-us/help/4495256","2019-05-22","","TRUE","","","","",""
"2016","13.0","13.0.5292.0","2015.131.5292.0","Cumulative update 6 (CU6) for SQL Server 2016 Service Pack 2","https://support.microsoft.com/en-us/help/4488536","2019-03-19","","TRUE","","","","",""
"2016","13.0","13.0.5270.0","2015.131.5270.0","On-demand hotfix update package for SQL Server 2016 SP2 CU5","https://support.microsoft.com/en-us/help/4490133","2019-02-14","","","TRUE","","","",""
"2016","13.0","13.0.5264.1","2015.131.5264.1","Cumulative update 5 (CU5) for SQL Server 2016 Service Pack 2","https://support.microsoft.com/en-us/help/4475776","2019-01-23","","TRUE","","","","",""
"2016","13.0","13.0.5239.0","2015.131.5239.0","On-demand hotfix update package 2 for SQL Server 2016 SP2 CU4","https://support.microsoft.com/en-us/help/4482972","2018-12-21","","","TRUE","","","",""
"2016","13.0","13.0.5233.0","2015.131.5233.0","Cumulative update 4 (CU4) for SQL Server 2016 Service Pack 2","https://support.microsoft.com/en-us/help/4464106","2018-11-13","","TRUE","","","","",""
"2016","13.0","13.0.5221.0","2015.131.5221.0","FIX: Assertion error occurs when you restart the SQL Server 2016 database","https://support.microsoft.com/en-us/help/4466793","2018-10-09","","","","","","",""
"2016","13.0","13.0.5221.0","2015.131.5221.0","FIX: ""3414"" and ""9003"" errors and a .pmm log file grows large in SQL Server 2016","https://support.microsoft.com/en-us/help/4466994","2018-10-09","","","","","","",""
"2016","13.0","13.0.5216.0","2015.131.5216.0","Cumulative update 3 (CU3) for SQL Server 2016 Service Pack 2","https://support.microsoft.com/en-us/help/4458871","2018-09-21","","TRUE","","","","",""
"2016","13.0","13.0.5201.2","2015.131.5201.2","Security update for the Remote Code Execution vulnerability in SQL Server 2016 SP2 CU: August 19, 2018","https://support.microsoft.com/en-us/help/4458621","2018-08-19","","","","","","",""
"2016","13.0","13.0.5161.0","2015.131.5161.0","Security update for the Remote Code Execution vulnerability in SQL Server 2016 SP2 CU: August 14, 2018","https://support.microsoft.com/en-us/help/4293807","2018-08-14","","","","","","","TRUE"
"2016","13.0","13.0.5153.0","2015.131.5153.0","Cumulative update 2 (CU2) for SQL Server 2016 Service Pack 2","https://support.microsoft.com/en-us/help/4340355","2018-07-17","","TRUE","","","","",""
"2016","13.0","13.0.5149.0","2015.131.5149.0","Cumulative update 1 (CU1) for SQL Server 2016 Service Pack 2","https://support.microsoft.com/en-us/help/4135048","2018-05-30","","TRUE","","","","",""
"2016","13.0","13.0.5103.6","2015.131.5103.6","Security update for SQL Server 2016 SP2 GDR: January 12, 2021","https://support.microsoft.com/en-us/help/4583460","2021-01-12","","","","","","",""
"2016","13.0","13.0.5102.14","2015.131.5102.14","Security update for SQL Server 2016 SP2 GDR: February 11, 2020","https://support.microsoft.com/en-us/help/4532097","2020-02-11","","","","","","",""
"2016","13.0","13.0.5101.9","2015.131.5101.9","Security update for SQL Server 2016 SP2 GDR: July 9, 2019","https://support.microsoft.com/en-us/help/4505220","2019-07-09","","","","","","",""
"2016","13.0","13.0.5081.1","2015.131.5081.1","Security update for the Remote Code Execution vulnerability in SQL Server 2016 SP2 GDR: August 14, 2018","https://support.microsoft.com/en-us/help/4293802","2018-08-14","","","","","","",""
"2016","13.0","13.0.5026.0","2015.131.5026.0","Microsoft SQL Server 2016 Service Pack 2 (SP2)","https://support.microsoft.com/en-us/help/4052908","2018-04-24","TRUE","","","","","",""
"2016","13.0","13.0.4604.0","2015.130.4604.0","Security update for SQL Server 2016 SP1 CU15 GDR: July 9, 2019","https://support.microsoft.com/en-us/help/4505221","2019-07-09","","","","","","",""
"2016","13.0","13.0.4577.0","2015.130.4577.0","On-demand hotfix update package for SQL Server 2016 Service Pack 1 (SP1) Cumulative update 15 (CU15)","https://support.microsoft.com/en-us/help/4508471","2019-06-20","","","TRUE","","","",""
"2016","13.0","13.0.4574.0","2015.130.4574.0","Cumulative update 15 (CU15) for SQL Server 2016 Service Pack 1","https://support.microsoft.com/en-us/help/4495257","2019-05-16","","TRUE","","","","",""
"2016","13.0","13.0.4560.0","2015.130.4560.0","Cumulative update 14 (CU14) for SQL Server 2016 Service Pack 1","https://support.microsoft.com/en-us/help/4488535","2019-03-19","","TRUE","","","","",""
"2016","13.0","13.0.4550.1","2015.130.4550.1","Cumulative update 13 (CU13) for SQL Server 2016 Service Pack 1","https://support.microsoft.com/en-us/help/4475775","2019-01-23","","TRUE","","","","",""
"2016","13.0","13.0.4541.0","2015.130.4541.0","Cumulative update 12 (CU12) for SQL Server 2016 Service Pack 1","https://support.microsoft.com/en-us/help/4464343","2018-11-13","","TRUE","","","","",""
"2016","13.0","13.0.4531.0","2015.130.4531.0","FIX: The ""modification_counter"" in DMV sys.dm_db_stats_properties shows incorrect value when partitions are merged through ALTER PARTITION in SQL Server 2016","https://support.microsoft.com/en-us/help/4465443","2018-09-27","","","","","","",""
"2016","13.0","13.0.4528.0","2015.130.4528.0","Cumulative update 11 (CU11) for SQL Server 2016 Service Pack 1","https://support.microsoft.com/en-us/help/4459676","2018-09-18","","TRUE","","","","",""
"2016","13.0","13.0.4522.0","2015.130.4522.0","Security update for the Remote Code Execution vulnerability in SQL Server 2016 SP1 CU: August 14, 2018","https://support.microsoft.com/en-us/help/4293808","2018-08-14","","","","","","",""
"2016","13.0","13.0.4514.0","2015.130.4514.0","Cumulative update 10 (CU10) for SQL Server 2016 Service Pack 1","https://support.microsoft.com/en-us/help/4341569","2018-07-16","","TRUE","","","","",""
"2016","13.0","13.0.4502.0","2015.130.4502.0","Cumulative update 9 (CU9) for SQL Server 2016 Service Pack 1","https://support.microsoft.com/en-us/help/4100997","2018-05-30","","TRUE","","","","",""
"2016","13.0","13.0.4477.0","2015.130.4477.0","On-demand hotfix update package for SQL Server 2016 SP1","https://support.microsoft.com/en-us/help/4099490","2018-06-02","","","TRUE","","","",""
"2016","13.0","13.0.4474.0","2015.130.4474.0","Cumulative update 8 (CU8) for SQL Server 2016 Service Pack 1","https://support.microsoft.com/en-us/help/4077064","2018-03-19","","TRUE","","","","",""
"2016","13.0","13.0.4466.4","2015.130.4466.4","Cumulative update 7 (CU7) for SQL Server 2016 Service Pack 1 – Security Advisory ADV180002","https://support.microsoft.com/en-us/help/4057119","2018-01-04","","TRUE","","","","",""
"2016","13.0","13.0.4457.0","2015.130.4457.0","Cumulative update 6 (CU6) for SQL Server 2016 Service Pack 1","https://support.microsoft.com/en-us/help/4037354","2017-11-21","","TRUE","","","","",""
"2016","13.0","13.0.4451.0","2015.130.4451.0","Cumulative update 5 (CU5) for SQL Server 2016 Service Pack 1","https://support.microsoft.com/en-us/help/4040714","2017-09-18","","TRUE","","","","",""
"2016","13.0","13.0.4446.0","2015.130.4446.0","Cumulative update 4 (CU4) for SQL Server 2016 Service Pack 1","https://support.microsoft.com/en-us/help/4024305","2017-08-08","","TRUE","","","","",""
"2016","13.0","13.0.4435.0","2015.130.4435.0","Cumulative update 3 (CU3) for SQL Server 2016 Service Pack 1","https://support.microsoft.com/en-us/help/4019916","2017-05-15","","TRUE","","","","",""
"2016","13.0","13.0.4422.0","2015.130.4422.0","Cumulative update 2 (CU2) for SQL Server 2016 Service Pack 1","https://support.microsoft.com/en-us/help/4013106","2017-03-22","","TRUE","","","","",""
"2016","13.0","13.0.4411.0","2015.130.4411.0","Cumulative update 1 (CU1) for SQL Server 2016 Service Pack 1","https://support.microsoft.com/en-us/help/3208177","2017-01-18","","TRUE","","","","",""
"2016","13.0","13.0.4259.0","2015.130.4259.0","Security update for SQL Server 2016 SP1 GDR: July 9, 2019","https://support.microsoft.com/en-us/help/4505219","2019-07-09","","","","","","",""
"2016","13.0","13.0.4224.16","2015.130.4224.16","Security update for the Remote Code Execution vulnerability in SQL Server 2016 SP1 GDR: August 22, 2018","https://support.microsoft.com/en-us/help/4458842","2018-08-22","","","","","","",""
"2016","13.0","13.0.4223.10","2015.130.4223.10","Security update for the Remote Code Execution vulnerability in SQL Server 2016 SP1 GDR: August 14, 2018","https://support.microsoft.com/en-us/help/4293801","2018-08-14","","","","","","","TRUE"
"2016","13.0","13.0.4210.6","2015.130.4210.6","Description of the security update for SQL Server 2016 SP1 GDR: January 3, 2018 – Security Advisory ADV180002","https://support.microsoft.com/en-us/help/4057118","2018-01-03","","","","","","",""
"2016","13.0","13.0.4206.0","2015.130.4206.0","Security update for SQL Server 2016 Service Pack 1 GDR: August 8, 2017","https://support.microsoft.com/en-us/help/4019089","2017-08-08","","","","","","",""
"2016","13.0","13.0.4202.2","2015.130.4202.2","GDR update package for SQL Server 2016 SP1","https://support.microsoft.com/en-us/help/3210089","2016-12-16","","","","","","",""
"2016","13.0","13.0.4199.0","2015.130.4199.0","Important update for SQL Server 2016 SP1 Reporting Services","https://support.microsoft.com/en-us/help/3207512","2016-11-23","","","","","","",""
"2016","13.0","13.0.4001.0","2015.130.4001.0","Microsoft SQL Server 2016 Service Pack 1 (SP1)","https://support.microsoft.com/en-us/help/3182545","2016-11-16","TRUE","","","","","",""
